MAE,MAPE,Model,RMSE
22.817,11.827,ProphetModel,31.406
23.04,11.669,SARIMA,31.13
21.833,11.269,HoltWinters,29.178
24.855,14.292,ElasticNet,34.41
26.848,13.848,NeuralProphet,34.681
